filename,width,height,class,xmin,ymin,xmax,ymax
image0000.jpg,800,600,small-car,0.736719,0.3875,0.006771,0.008333
image0000.jpg,800,600,truck,0.746615,0.381481,0.008854,0.025926
image0000.jpg,800,600,people,0.74349,0.390741,0.004687,0.012963
image0000.jpg,800,600,two-wheeler,0.74349,0.399537,0.004687,0.010185
image0000.jpg,800,600,two-wheeler,0.50625,0.461111,0.030208,0.05
image0000.jpg,800,600,people,0.50625,0.412963,0.023958,0.053704
image0001.jpg,800,600,small-car,0.738802,0.3875,0.005729,0.010185
image0001.jpg,800,600,truck,0.745833,0.382407,0.009375,0.027778
image0001.jpg,800,600,people,0.741667,0.393981,0.00625,0.015741
image0001.jpg,800,600,two-wheeler,0.741927,0.400926,0.005729,0.014815
image0001.jpg,800,600,two-wheeler,0.580729,0.416204,0.017708,0.056481
image0001.jpg,800,600,people,0.580469,0.405093,0.015104,0.05463
image0002.jpg,800,600,truck,0.744271,0.382407,0.009375,0.02963
image0002.jpg,800,600,people,0.739844,0.394444,0.006771,0.018519
image0002.jpg,800,600,two-wheeler,0.739583,0.405093,0.004167,0.019444
image0002.jpg,800,600,people,0.620833,0.389352,0.011458,0.025
image0002.jpg,800,600,two-wheeler,0.620313,0.414352,0.011458,0.026852
image0003.jpg,800,600,truck,0.742708,0.38287,0.011458,0.034259
image0003.jpg,800,600,people,0.73776,0.394444,0.008854,0.022222
image0003.jpg,800,600,two-wheeler,0.73776,0.409259,0.007812,0.025926
image0003.jpg,800,600,people,0.648698,0.390278,0.008854,0.023148
image0003.jpg,800,600,two-wheeler,0.648177,0.410185,0.008854,0.02037
image0004.jpg,800,600,truck,0.740625,0.381944,0.0125,0.037963
image0004.jpg,800,600,people,0.667448,0.390278,0.006771,0.017593
image0004.jpg,800,600,two-wheeler,0.667448,0.406944,0.006771,0.017593
image0004.jpg,800,600,people,0.732812,0.401389,0.0125,0.039815
image0004.jpg,800,600,two-wheeler,0.732031,0.413889,0.007812,0.033333
image0005.jpg,800,600,truck,0.738802,0.381944,0.016146,0.047222
image0005.jpg,800,600,people,0.68099,0.388426,0.006771,0.015741
image0005.jpg,800,600,two-wheeler,0.68151,0.403704,0.006771,0.014815
image0005.jpg,800,600,people,0.720573,0.408333,0.017188,0.059259
image0005.jpg,800,600,two-wheeler,0.721615,0.427778,0.016146,0.05
image0006.jpg,800,600,truck,0.736458,0.381944,0.01875,0.05463
image0006.jpg,800,600,people,0.695833,0.433333,0.030208,0.098148
image0006.jpg,800,600,two-wheeler,0.694792,0.468056,0.030208,0.089815
image0007.jpg,800,600,people,0.698438,0.388889,0.004167,0.012963
image0007.jpg,800,600,two-wheeler,0.698438,0.399537,0.004167,0.008333
image0007.jpg,800,600,truck,0.733594,0.381481,0.023438,0.07037
image0007.jpg,800,600,people,0.578385,0.53287,0.034896,0.237963
image0007.jpg,800,600,people,0.542188,0.538889,0.0875,0.251852
image0007.jpg,800,600,two-wheeler,0.546875,0.627315,0.108333,0.278704
image0008.jpg,800,600,lcv,0.044792,0.569907,0.088542,0.297222
image0008.jpg,800,600,people,0.704167,0.388889,0.005208,0.011111
image0008.jpg,800,600,two-wheeler,0.703906,0.398148,0.003646,0.007407
image0008.jpg,800,600,truck,0.729948,0.377315,0.031771,0.093519
image0009.jpg,800,600,lcv,0.441927,0.416667,0.150521,0.237037
image0009.jpg,800,600,truck,0.723958,0.374537,0.047917,0.137963
image0010.jpg,800,600,lcv,0.594271,0.39213,0.067708,0.130556
image0010.jpg,800,600,small-car,0.157292,0.572222,0.261458,0.261111
image0010.jpg,800,600,truck,0.693229,0.377778,0.102083,0.248148
image0011.jpg,800,600,truck,0.466406,0.425463,0.477604,0.812037
image0011.jpg,800,600,small-car,0.740885,0.39213,0.009896,0.017593
image0012.jpg,800,600,small-car,0.60625,0.415278,0.058333,0.073148
image0012.jpg,800,600,lcv,0.682813,0.386111,0.026042,0.066667
image0012.jpg,800,600,small-car,0.740365,0.394444,0.013021,0.02037
image0013.jpg,800,600,small-car,0.654948,0.402778,0.038021,0.05
